Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Afrotheria,Elephantidae,Elephas maximus,Indian elephant,ZMUC 1399,3534000,830,310,980,315
Afrotheria,Elephantidae,Loxodonta africana,African elephant,ROM R6000,6435000,1035,416.3,1147.5,399
Afrotheria,Macroscelididae,Petrodromus tetradactylus,Four-toed Elephant Shrew,ROM 85723,275,33.7,9.5,47.3,12.5
Afrotheria,Macroscelididae,Rhynchocyon cirnei,Checkered Elephant Shrew,ROM 47023,445,,9.5,55.45,13.75
Afrotheria,Procaviidae,Heterohyrax brucei,Yellow-spotted Rock Hyrax,ROM 64992,3650,78.2,21.75,79.5,24.25
Carnivora,Canidae,Alopex lagopus,Arctic Fox,ROM 105014,3710,112.15,23,114.68,24.85
Carnivora,Canidae,Canis latrans,Coyote,ROM R6654,13608,166.2,41,178.35,40.6
Carnivora,Canidae,Canis lupus,Wolf,ROM 101841,32000,211,53.25,226.5,51.75
Carnivora,Canidae,Cuon alpinus,Dhole,ROM 105074,15400,158.3,42.35,173.75,44.15
Carnivora,Canidae,Nyctereutes procyonoides,Racoon Dog,ROM 94037,3500,84.3,25.25,89.74,25.75
Carnivora,Canidae,Urocyon cinereoargentus,Gray fox,ROM 14309,4800,102.74,24.1,115,27.15
Carnivora,Canidae,Vulpes velox,Swift Fox,ROM 105398,2300,99.88,21.55,99.17,23.3
Carnivora,Canidae,Vulpes vulpes,Red Fox,ROM 28025,6000,125.1,26.25,127.62,26.95
Carnivora,Canidae,Vulpes zerda,Fennec Fox,ROM 91467,1000,68.2,16.25,70.4,16.25
Carnivora,Felidae,Acinonyx jubatus,Cheetah,ROM 111488,60400,243.5,62.5,268.5,67.5
Carnivora,Felidae,Felis catus,Domestic cat,ZMUC 3629-CH2005,8400,104,28.5,119.5,30
Carnivora,Felidae,Leopardus pardalis,Ocelot,ZMUC 1111-CH2005,13900,144.5,40.5,165,42
Carnivora,Felidae,Lynx canadensis,Canadian Lynx,ROM 74772,17710,178.75,38.75,215.55,40.85
Carnivora,Felidae,Lynx lynx,Eurasian lynx,ZMUC 120-CH2005,9700,170.5,38,202.5,39
Carnivora,Felidae,Lynx rufus,Bobcat,ROM 67947,8800,151.25,36.5,175.95,38.25
Carnivora,Felidae,Neofelis nebulosa,Cloud lepard,AHR1985,13478,,44.7,,41.4
Carnivora,Felidae,Panthera leo,Lion,ZMUC 7231-CH2005,203000,366,116,401,109
Carnivora,Felidae,Panthera onca,Jaguar,ZMUC 6221-CH2005,71000,239,76,265.5,72.5
Carnivora,Felidae,Panthera pardus,Leopard,ZMUC 5661-CH2005,61000,200,62,231,61
Carnivora,Felidae,Panthera tigris_altaica,Siberian tiger,ZMUC 5698-CH2005,230000,350,113,411,102.5
Carnivora,Felidae,Panthera tigris_tigris,Bengal tiger,ZMUC 5667-CH2005,145000,310,94,360.5,90.5
Carnivora,Felidae,Panthera unica,Snow Leopard,ZMUC 6047-CH2005,43100,208.5,63.5,234.5,63
Carnivora,Felidae,Puma concolor,Cougar,ZMUC 5663-CH2005,47000,231.5,65.5,276.5,62.5
Carnivora,Herpestidae,Crossarchus obscurus,Common Kusimanse,ROM 89636,1190,48.86,14.9,54.76,15.5
Carnivora,Herpestidae,Galerella sanguinea,Slender Mongoose,ROM 58390,1100,45.5,14,51.25,14.5
Carnivora,Herpestidae,Helogale parvula,Common Dwarf Mongoose,ROM 58387,450,34.6,11,36,12
Carnivora,Herpestidae,Herpestes javanicus,Small Asian Mongoose,ROM 74045,384,42.2,11.6,46.84,12.5
Carnivora,Herpestidae,Ichneumia albicauda,White-tailed Mongoose,ROM 58383,4760,93.3,23.1,108.72,27.05
Carnivora,Herpestidae,Liberiictis kuhni,Liberian Mongoose,ROM 102286,2430,68,20.5,76.1,22.25
Carnivora,Herpestidae,Suricata suricata,Meerkat,ROM 74547,717,50.74,13.2,55.83,13.65
Carnivora,Mustelidae,Arctonyx collaris,Hog Badger,ROM 97264,5900,96.56,32.1,109.04,29.3
Carnivora,Mustelidae,Gulo gulo,Wolverine,ROM 32287,16556,136.25,39.75,141.5,35
Carnivora,Mustelidae,Lutra canadensis,Otter,ROM R6629,6400,74.66,26.1,73.69,24.4
Carnivora,Mustelidae,Martes pennanti,Fisher,ROM 87320,6160,96.4,22.25,102.45,24.5
Carnivora,Mustelidae,Mephitis mephitis,Striped Skunk,ROM 98961,6500,62.15,24.05,71.25,22.05
Carnivora,Mustelidae,Mustela erminae,Stoat,ROM 77158,145,29.2,7,30.6,7.7
Carnivora,Mustelidae,Mustela frenata,Long-tailed weasel,ROM 94414,260,34.98,9.55,38.48,10.2
Carnivora,Mustelidae,Mustela nigripes,Black-footed ferret,ROM R6743,694,48.8,12.15,49.9,13.05
Carnivora,Mustelidae,Mustela putorius,European Polecat,ROM 88373,1100,47.3,12.95,51.97,12.5
Carnivora,Mustelidae,Mustela vison,American Mink,ROM 111439,1135,47.76,14.65,50.87,14.7
Carnivora,Mustelidae,Taxidae taxus,American Badger,ROM 58275,9900,103.1,33,100.8,27.75
Carnivora,Otariidae,Arctocephalus pusillus,Brown fur seal,ROM R5607,43000,141.35,83.95,81.75,48.75
Carnivora,Phocidae,Phoca groenlandica,Harp seal,ROM R1665,42000,128.5,68.85,90.55,70
Carnivora,Procyonidae,Procyon lotor,Racoon,ROM 88247,7000,114.7,31.05,132.75,33.25
Carnivora,Ursidae,Ursus americanus,Black bear,ROM 71435,204000,296,101.5,302,96.5
