Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141118,http://n2t.net/ark:/87602/m4/M141121,http://n2t.net/ark:/87602/m4/M141124,Mammalia,,Abrocomidae,Abrocoma cinerea,Ashy chinchilla rat,AMNH 120621,,250,26.48,9.385,33.69,9.886,37.78,Q,Abrocoma cinerea
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158176,http://n2t.net/ark:/87602/m4/M158180,Mammalia,,Felidae,Acinonyx jubatus,Cheetah,AMNH 119657,,50000,241.31,58.82,263.89,64.15,119.67,Q,Acinonyx jubatus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157290,http://n2t.net/ark:/87602/m4/M157293,http://n2t.net/ark:/87602/m4/M157296,Mammalia,,Muridae,Acomys cahirinus,Cairo spiny mouse,NHMUK 65.789-793,,66,13.05,3.59,17.15,5.71,14.33,Q,Acomys cahirinus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M52800,http://n2t.net/ark:/87602/m4/M52804,http://n2t.net/ark:/87602/m4/M52807,Mammalia,,Acrobatidae,Acrobates pygmaeus,Feathergill glider,NHMUK 82.7.29.23-24,,12,12.81,3.22,14.7,3.17,12.65,Q,Acrobates pygmaeus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141477,http://n2t.net/ark:/87602/m4/M141480,Mammalia,,Bovidae,Aepyceros melampus,Impala,FMNH 127890,,52500,165.39,61.84,204.8,63.55,200.55,Q,Aepyceros melampus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141486,http://n2t.net/ark:/87602/m4/M141490,Mammalia,,Atelidae,Alouatta seniculus,Venezuelan red howler,FMNH 18869,,6146,145.59,36.74,150.58,36.56,92.01,Q,Alouatta seniculus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140653,http://n2t.net/ark:/87602/m4/M140657,http://n2t.net/ark:/87602/m4/M140660,Mammalia,,Chrysochloridae,Amblysomus hottentotus,Hottentot golden mole,UMZC 2010.15A,,53,13.35,8.024,15.43,6.11,16.23,Q,Amblysomus hottentotus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M52927,http://n2t.net/ark:/87602/m4/M52934,http://n2t.net/ark:/87602/m4/M52931,Mammalia,,Anomaluridae,Anomalurus beecrofti,Beecroft's flying squirrel,NHMUK 1989.174,,389,61.85,11.41,71.46,12.72,29.63,Q,Anomalurus beecrofti
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157300,http://n2t.net/ark:/87602/m4/M157303,http://n2t.net/ark:/87602/m4/M157306,Mammalia,,Soricidae,Anourosorex squamipes,Chinese mole shrew,NHMUK 1933.4.1.165,,20,10.59,3.76,11.23,3.46,12.61,Q,Anourosorex squamipes
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82407,http://n2t.net/ark:/87602/m4/M82410,http://n2t.net/ark:/87602/m4/M82413,Mammalia,,Dasyuridae,Antechinomys laniger,Kultarr,NHMUK 32.2.11.23,,27,14.17,3.32,18.97,4.67,19.78,Q,Antechinomys laniger
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82261,http://n2t.net/ark:/87602/m4/M82265,http://n2t.net/ark:/87602/m4/M82268,Mammalia,,Dasyuridae,Antechinus stuartii,Brown antechinus,FMNH 12956,,28,15.32,4.57,20.43,5.14,20.65,Q,Antechinus stuartii
