Genus,Species,Correct_taxonomy,Mass_Male_g,Mass_Female_g,SCL_Male_mm,SCL_Female_mm
Acanthochelys,macrocephala,Acanthochelys_macrocephala,736.54,1023.81,186.92,197.86
Acanthochelys,spixii,Acanthochelys_spixii,247.73,330.87,128.79,139.78
Acanthochelys,spixii,Acanthochelys_spixii,281.5,385.6,129.35,136.43
Emys,marmorata,Actinemys_marmorata,406,523,137,144
Emys,marmorata,Actinemys_marmorata,333.33,415.83,133.67,140.67
Emys,marmorata,Actinemys_marmorata,757.9,719.2,168.9,158.3
Emys,marmorata,Actinemys_marmorata,787.8,683.8,168.6,154.3
Astrochelys,radiata,Astrochelys_radiata,6700,5500,334,305
Astrochelys,radiata,Astrochelys_radiata,5200,6300,312,319
Astrochelys,yniphora,Astrochelys_yniphora,10300,8800,414.8,370.1
Astrochelys,yniphora,Astrochelys_yniphora,9500,8280,421.8,366.1
Batagur,baska,Batagur_baska,8000,16500,395,500
Caretta,caretta,Caretta_caretta,68000,74000,815,792
Chelodina,longicollis,Chelodina_longicollis,473,721,172,200
Chelodina,longicollis,Chelodina_longicollis,531.5,757,178.2,194.95
Chelodina,oblonga,Chelodina_oblonga,1158.2,702,198,170
Chelodina,parkeri,Chelodina_parkeri,923.2,1307.9,205,228
Chelodina,reimanni,Chelodina_reimanni,961,652.5,207,180
Chelonia,mydas,Chelonia_mydas,57728.57,70055.56,792.84,843.32
Chelonia,mydas,Chelonia_mydas,147000,163440,1000,1053.1
Chelonoidis,denticulata,Chelonoidis_denticulatus,9000,8900,444,423
Chelus,fimbriatus,Chelus_fimbriatus,3460,4470,280,310
Chelus,fimbriatus,Chelus_fimbriatus,3300,13000,292,417.5
Chelydra,serpentina,Chelydra_serpentina,4158.7,3160,253.4,238.3
Chelydra,serpentina,Chelydra_serpentina,11460,7610,359.8,324.7
Chersina,angulata,Chersina_angulata,1022,879,190,170
Chersina,angulata,Chersina_angulata,906.6,814.6,181.9,161.3
Chersina,angulata,Chersina_angulata,916,813,187,168
Chitra,indica,Chitra_indica,17300,30200,558.3,644.4
Chitra,indica,Chitra_indica,15000,18000,534,635
Chrysemys,picta,Chrysemys_picta,176.9,326.7,109.7,134.2
Chrysemys,picta,Chrysemys_picta,233.41,398.33,127.2,147.2
Chrysemys,picta,Chrysemys_picta,259,482,123,147
Chrysemys,picta ssp. marginata,Chrysemys_picta,286.4,422.3,135.8,152.5
Chrysemys,picta ssp. marginata,Chrysemys_picta,286.4,422.3,135.8,152.5
Chrysemys,picta ssp. marginata,Chrysemys_picta,291,418.7,139.1,151.9
Clemmys,guttata,Clemmys_guttata,168,190,105.2,103.8
Clemmys,guttata,Clemmys_guttata,219.8,212.2,117.9,108.9
Clemmys,guttata,Clemmys_guttata,102.3,105.9,87.5,88.2
Kinosternon,leucostomum ,Kinosternon_leucostomum,851,730,175,153
Kinosternon,leucostomum ,Kinosternon_leucostomum,465,343.7,145,136
Cuora,amboinensis,Cuora_amboinensis,1500,2000,181.5,225.45
Cuora,amboinensis ssp kamaroma,Cuora_amboinensis,916.9,933.2,181.5,173.5
Cuora,amboinensis ssp kamaroma,Cuora_amboinensis,548.5,666.3,151.9,156.4
Cuora,flavomarginata ssp flavomarginata,Cuora_flavomarginata,419.7,565.6,141.1,154
Cuora,mccordi,Cuora_mccordi,400,700.5,140.5,163.5
